Season,Week Start Date,WeekEnd,Deaths,Probable deaths,Confirmed and probable deaths,Cases,Probable cases,Confirmed and probable cases,Last updated
2023-2024,2023-07-23T00:00:00Z,2023-07-29,6,1,7,1042,437,1479,2023-10-19T00:00:00Z
2023-2024,2020-03-22T00:00:00Z,2020-03-28,65,1,66,4892,3,4895,2023-10-19T00:00:00Z
2023-2024,2022-07-03T00:00:00Z,2022-07-09,50,11,61,9533,1272,10805,2023-10-19T00:00:00Z
2023-2024,2022-03-20T00:00:00Z,2022-03-26,32,3,35,6488,717,7205,2023-10-19T00:00:00Z
2023-2024,2020-06-14T00:00:00Z,2020-06-20,141,1,142,1265,56,1321,2023-10-19T00:00:00Z
2023-2024,2020-08-16T00:00:00Z,2020-08-22,33,3,36,1979,95,2074,2023-10-19T00:00:00Z
2023-2024,2021-01-10T00:00:00Z,2021-01-16,409,19,428,31167,2240,33407,2023-10-19T00:00:00Z
2023-2024,2023-08-13T00:00:00Z,2023-08-19,14,1,15,1806,768,2574,2023-10-19T00:00:00Z
2023-2024,2021-07-04T00:00:00Z,2021-07-10,9,0,9,828,141,969,2023-10-19T00:00:00Z
2023-2024,2023-06-18T00:00:00Z,2023-06-24,7,1,8,655,228,883,2023-10-19T00:00:00Z
2023-2024,2022-05-01T00:00:00Z,2022-05-07,50,9,59,23248,3122,26370,2023-10-19T00:00:00Z
2023-2024,2021-02-28T00:00:00Z,2021-03-06,124,5,129,9359,1134,10493,2023-10-19T00:00:00Z
2023-2024,2023-08-06T00:00:00Z,2023-08-12,14,7,21,1673,682,2355,2023-10-19T00:00:00Z
2023-2024,2020-01-26T00:00:00Z,2020-02-01,0,0,0,1,0,1,2023-10-19T00:00:00Z
2023-2024,2022-07-17T00:00:00Z,2022-07-23,64,15,79,10253,1325,11578,2023-10-19T00:00:00Z
2023-2024,2021-05-09T00:00:00Z,2021-05-15,53,3,56,3483,492,3975,2023-10-19T00:00:00Z
2023-2024,2023-09-17T00:00:00Z,2023-09-23,25,4,29,2803,1024,3827,2023-10-19T00:00:00Z
2023-2024,2021-10-31T00:00:00Z,2021-11-06,88,4,92,9941,897,10838,2023-10-19T00:00:00Z
2023-2024,2023-07-09T00:00:00Z,2023-07-15,6,2,8,715,244,959,2023-10-19T00:00:00Z
2023-2024,2020-12-20T00:00:00Z,2020-12-26,373,20,393,26432,1750,28182,2023-10-19T00:00:00Z
2023-2024,2021-06-27T00:00:00Z,2021-07-03,13,1,14,554,85,639,2023-10-19T00:00:00Z
2023-2024,2022-11-20T00:00:00Z,2022-11-26,61,22,83,4556,899,5455,2023-10-19T00:00:00Z
2023-2024,2020-07-12T00:00:00Z,2020-07-18,37,5,42,1473,107,1580,2023-10-19T00:00:00Z
2023-2024,2023-09-03T00:00:00Z,2023-09-09,18,6,24,2531,1040,3571,2023-10-19T00:00:00Z
2023-2024,2021-11-14T00:00:00Z,2021-11-20,78,4,82,17354,1762,19116,2023-10-19T00:00:00Z
2023-2024,2022-04-03T00:00:00Z,2022-04-09,35,3,38,10577,1208,11785,2023-10-19T00:00:00Z
2023-2024,2020-09-13T00:00:00Z,2020-09-19,29,0,29,2485,123,2608,2023-10-19T00:00:00Z
2023-2024,2023-03-05T00:00:00Z,2023-03-11,47,10,57,2342,559,2901,2023-10-19T00:00:00Z
2023-2024,2022-11-27T00:00:00Z,2022-12-03,84,16,100,7658,1402,9060,2023-10-19T00:00:00Z
2023-2024,2021-02-07T00:00:00Z,2021-02-13,214,12,226,12476,1116,13592,2023-10-19T00:00:00Z
2023-2024,2020-11-01T00:00:00Z,2020-11-07,88,4,92,12317,567,12884,2023-10-19T00:00:00Z
2023-2024,2022-02-06T00:00:00Z,2022-02-12,262,26,288,13880,1616,15496,2023-10-19T00:00:00Z
2023-2024,2020-09-06T00:00:00Z,2020-09-12,22,0,22,2285,113,2398,2023-10-19T00:00:00Z
2023-2024,2021-02-21T00:00:00Z,2021-02-27,160,15,175,10476,1133,11609,2023-10-19T00:00:00Z
2023-2024,2023-01-15T00:00:00Z,2023-01-21,157,27,184,5727,1379,7106,2023-10-19T00:00:00Z
2023-2024,2020-10-04T00:00:00Z,2020-10-10,31,5,36,4408,241,4649,2023-10-19T00:00:00Z
2023-2024,2022-03-13T00:00:00Z,2022-03-19,40,5,45,4696,518,5214,2023-10-19T00:00:00Z
2023-2024,2022-02-20T00:00:00Z,2022-02-26,119,8,127,6090,430,6520,2023-10-19T00:00:00Z
